,Video,Variablity_clusters
0,Math 2A - Calculus - Lecture 14 - Chain Rule..mp4,5
1,Math 2A - Calculus - Lecture 03 - Functions and Slopes..mp4,5
2,"Math 2A - Calculus - Lecture 05 - Tangents, Slopes, and Limits..mp4",7
3,Math 2A - Calculus - Lecture 02 - Functions and Transformations..mp4,5
4,Math 2A - Calculus - Lecture 13 - Trigonometric Derivatives..mp4,6
5,Math 2A - Calculus - Lecture 01 - Functions..mp4,6
6,"Math 2A - Calculus - Lecture 10 - Derivatives, Part II..mp4",6
7,Math 2A - Calculus - Lecture 11 - Midterm Review..mp4,5
8,Math 2A - Calculus - Lecture 07 - Continuity..mp4,7
9,"Math 2A - Calculus - Lecture 08 - Intermediate Value Theorem, Limits of Infinity..mp4",6
