,Filename,Feature
0,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_11.jpeg,Hand_Written
1,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_2.jpeg,Hand_Written
2,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_6.jpeg,Hand_Written
3,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_10.jpeg,Hand_Written
4,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_14.jpeg,Hand_Written
5,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_3.jpeg,Hand_Written
6,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_9.jpeg,Hand_Written
7,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_8.jpeg,Hand_Written
8,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_4.jpeg,Hand_Written
9,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_5.jpeg,Hand_Written
10,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_13.jpeg,Hand_Written
11,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_7.jpeg,Hand_Written
12,Math 2A - Calculus - Lecture 02 - Functions and Transformations_4_12.jpeg,Hand_Written
13,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_7.jpeg,Hand_Written
14,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_2.jpeg,Hand_Written
15,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_8.jpeg,Hand_Written
16,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_1.jpeg,Hand_Written
17,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_11.jpeg,Hand_Written
18,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_12.jpeg,Hand_Written
19,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_14.jpeg,Hand_Written
20,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_9.jpeg,Hand_Written
21,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_13.jpeg,Hand_Written
22,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_4.jpeg,Hand_Written
23,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_0.jpeg,Hand_Written
24,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_3.jpeg,Hand_Written
25,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_6.jpeg,Hand_Written
26,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_10.jpeg,Hand_Written
27,Math 2A - Calculus - Lecture 02 - Functions and Transformations_5_5.jpeg,Hand_Written
28,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_9.jpeg,Hand_Written
29,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_11.jpeg,Hand_Written
30,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_8.jpeg,Hand_Written
31,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_2.jpeg,Hand_Written
32,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_0.jpeg,Hand_Written
33,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_10.jpeg,Hand_Written
34,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_7.jpeg,Hand_Written
35,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_14.jpeg,Hand_Written
36,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_5.jpeg,Hand_Written
37,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_13.jpeg,Hand_Written
38,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_3.jpeg,Hand_Written
39,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_4.jpeg,Hand_Written
40,Math 2A - Calculus - Lecture 02 - Functions and Transformations_6_1.jpeg,Hand_Written
